log_id,land_no,col_id,col_nm,table_id,table_nm,url,table_source,table_src_platform,cate1,cate2,num_cat_flag,distinct_cnt,min_val,q1_val,avg_val,q4_val,max_val,null_ratio,same_ratio,column_cnt,categorical_cnt,numerical_cnt,rec_cnt,table_qty_index,table_dom_sum,median_val,pk_ratio,column_val_file_loc,language,regi_date,up_date_time,cum_search_num,cate1_tm,cate2_tm,rec_cnt_tm,column_cnt_tm,categorical_cnt_tm,numerical_cnt_tm,table_qty_index_tm,inner_tbl_cnt,inner_str_tbl,inner_val_tbl,outer_tbl_cnt,outer_str_tbl,outer_val_tbl,rep_ratio_tbl,common_ratio_tbl,num_dom_eqn_col,num_dom_inter_col,num_dom_incl_col,num_val_eqn_col,num_val_inter_col,avg_dom_col,avg_val_col,col_src_cnt,col_table_cnt,rep_ratio_cat1,rep_ratio_cat2,inner_col_cnt,inner_avg_dom_col,inner_avg_val_col
1,5674,4464,학년도,371,학교법인한국기술교육대학교_OKLMS 팀프로젝트 정보_20240906.CSV,url,소스,공공데이터포털,교육,고등교육,0,8,2017,,,,2024,0.0,16146.0,32,20,9,129168,0.0,27735,2021,0.0,,Korean,2026-03-30 10:54:22.674,,0,교육,고등교육,129168,32,20,9,0.0,823.0,0.1735267314702308,0.0013123785666907,,,,,,1.0,163.0,77.0,0.0,243.0,0.5008038585209004,0.016913365499623,,219.0,0.3333333333333333,0.3333333333333333,311.0,0.5008038585209004,0.016913365499623
1,3529,4467,분반,371,학교법인한국기술교육대학교_OKLMS 팀프로젝트 정보_20240906.CSV,url,소스,공공데이터포털,교육,고등교육,0,2,1,,,,2,0.0,64584.0,32,20,9,129168,0.0,27735,1,0.0,,Korean,2026-03-30 10:54:22.674,,0,교육,고등교육,129168,32,20,9,0.0,823.0,0.1735267314702308,0.0013123785666907,,,,,,23.0,656.0,40.0,0.0,1677.0,0.7988439306358381,0.0039871048431616,,563.0,0.3333333333333333,0.3333333333333333,1730.0,0.7988439306358381,0.0039871048431616
1,5695,4472,제출종료일,371,학교법인한국기술교육대학교_OKLMS 팀프로젝트 정보_20240906.CSV,url,소스,공공데이터포털,교육,고등교육,1,371,2017-06-03,,,,2024-12-14,0.0,348.16,32,20,9,129168,0.0,27735,2021-09-16,0.0,,Korean,2026-03-30 10:54:22.674,,0,교육,고등교육,129168,32,20,9,0.0,823.0,0.1735267314702308,0.0013123785666907,,,,,,0.0,292.0,13.0,0.0,299.0,0.0825504838495868,0.0059964859590661,,194.0,0.3333333333333333,0.3333333333333333,305.0,0.0825504838495868,0.0059964859590661
1,7376,4484,삭제여부_1,371,학교법인한국기술교육대학교_OKLMS 팀프로젝트 정보_20240906.CSV,url,소스,공공데이터포털,교육,고등교육,1,2,N,,,,Y,0.0,25030.0,32,20,9,129168,0.0,27735,N,0.0,,Korean,2026-03-30 10:54:22.674,,0,교육,고등교육,129168,32,20,9,0.0,823.0,0.1735267314702308,0.0013123785666907,,,,,,87.0,20.0,55.0,0.0,96.0,0.7699386503067485,0.0167733237885278,,81.0,0.3333333333333333,0.3333333333333333,163.0,0.7699386503067485,0.0167733237885278
1,7797,6768,학교급명,588,한국교육학술정보원_학교별순세계잉여금_20210928.csv,url,소스,공공데이터포털,교육,유아및초·중등교육,1,16,각종학교고,,,,평생학교초-3년6학기,0.0,7793.25,34,3,31,124692,0.0,2023435,중학교,0.0,,Korean,2026-03-30 11:29:21.362,,0,교육,유아및초·중등교육,124692,34,3,31,0.0,809.0,0.492074456482222,0.0016255462461176,,,,,,0.0,21.0,10.0,0.0,21.0,0.1673387096774193,0.0112693159816756,,28.0,0.3333333333333333,0.3333333333333333,31.0,0.1673387096774193,0.0112693159816756
1,8092,1784,업종명,228,경기도 광명시_공중위생업 현황_20240829.CSV,url,소스,공공데이터포털,공공행정,일반행정,1,20,건물위생관리업,,,,화장+분장미용업,0.0,59.45,5,3,2,1189,0.0,2075,일반미용업,0.02,,Korean,2026-03-30 10:35:58.375,,0,공공행정,일반행정,1189,5,3,2,0.0,69.0,0.2347826086956521,0.0072744115747004,,,,,,0.0,10.0,2.0,0.0,12.0,0.2458333333333333,0.1846790019624334,,11.0,0.3333333333333333,0.3333333333333333,12.0,0.2458333333333333,0.1846790019624334
1,5719,3203,주 매핑아이디,330,학교법인한국기술교육대학교_OKLMS HRD담당자훈련과정매핑_20240910.CSV,url,소스,공공데이터포털,교육,고등교육,1,7,2017CCMM0000041,,,,2024CCMM0000082,0.0,1.0,9,5,0,7,0.0,27,2017CCMM0000061,1.0,,Korean,2026-03-30 10:41:24.085,,0,교육,고등교육,7,9,5,0,0.0,59.0,0.1111111111111111,0.1127253161151466,,,,,,,,,,,,,,,,,,,
1,7068,3204,기업아이디,330,학교법인한국기술교육대학교_OKLMS HRD담당자훈련과정매핑_20240910.CSV,url,소스,공공데이터포털,교육,고등교육,1,6,COM_0000000168,,,,COM_A000000064,0.0,1.17,9,5,0,7,0.0,27,COM_A000000000,0.86,,Korean,2026-03-30 10:41:24.085,,0,교육,고등교육,7,9,5,0,0.0,59.0,0.1111111111111111,0.1127253161151466,,,,,,,,,,,,,,,,,,,
1,2948,3205,훈련과정아이디,330,학교법인한국기술교육대학교_OKLMS HRD담당자훈련과정매핑_20240910.CSV,url,소스,공공데이터포털,교육,고등교육,1,6,0000PROC0000000,,,,2022PROC0000936,0.0,1.17,9,5,0,7,0.0,27,0000PROC0000005,0.86,,Korean,2026-03-30 10:41:24.085,,0,교육,고등교육,7,9,5,0,0.0,59.0,0.1111111111111111,0.1127253161151466,,,,,,,,,,,,,,,,,,,
1,7355,3206,삭제여부 디폴트 N,330,학교법인한국기술교육대학교_OKLMS HRD담당자훈련과정매핑_20240910.CSV,url,소스,공공데이터포털,교육,고등교육,1,1,N,,,,N,0.0,7.0,9,5,0,7,0.0,27,N,0.14,,Korean,2026-03-30 10:41:24.085,,0,교육,고등교육,7,9,5,0,0.0,59.0,0.1111111111111111,0.1127253161151466,,,,,,25.0,0.0,0.0,0.0,23.0,1.0,0.8594470046082949,,59.0,0.3333333333333333,0.3333333333333333,124.0,1.0,0.8594470046082949
